RptDt;TckrSymb;SctyId;SctySrc;MktIdrCd;AsstDesc;FrstPric;MinPric;MaxPric;TradAvrgPric;PrvsDayClsgPric;LastPric;OscnPctg;IndxVal;SttlmVal
2018-01-02;INDX;10018385;8;BVMF;INDUSTRIAL;15087.79;15087.79;15414.13;15345;15087.79;15386.97;0.01982918397;15386.97;15384.6785
2018-01-03;INDX;10018385;8;BVMF;INDUSTRIAL;15385.38;15346.19;15518.43;15457.18;15386.97;15360.96;-0.00168994278;15360.96;15443.3113
2018-01-04;INDX;10018385;8;BVMF;INDUSTRIAL;15361.61;15361.61;15583.54;15525.79;15360.96;15506.2;0.00945502868;15506.2;15533.1413
2018-01-05;INDX;10018385;8;BVMF;INDUSTRIAL;15506.1;15459.36;15607.98;15554.75;15506.2;15574.04;0.00437471084;15574.04;15553.0639
2018-01-08;INDX;10018385;8;BVMF;INDUSTRIAL;15574.04;15539.36;15651.37;15582.76;15574.04;15651.37;0.0049653296;15651.37;15590.7128
2018-01-09;INDX;10018385;8;BVMF;INDUSTRIAL;15651.38;15606.34;15692.53;15650.64;15651.37;15628.17;-0.00148197392;15628.17;15635.0638
2018-01-10;INDX;10018385;8;BVMF;INDUSTRIAL;15627.72;15495.85;15627.72;15564.39;15628.17;15546.3;-0.00523854886;15546.3;15580.5046
2018-01-11;INDX;10018385;8;BVMF;INDUSTRIAL;15546.47;15530.81;15794.54;15655.65;15546.3;15788.67;0.01559028351;15788.67;15705.5336
2018-01-12;INDX;10018385;8;BVMF;INDUSTRIAL;15788.69;15685.28;15866;15773.01;15788.67;15785.35;-0.00021046918;15785.35;15757.9205
2018-01-15;INDX;10018385;8;BVMF;INDUSTRIAL;15785.78;15785.78;15926.87;15890.5;15785.35;15887.28;0.00645729212;15887.28;15882.0441
2018-01-16;INDX;10018385;8;BVMF;INDUSTRIAL;15887.43;15846.59;16020.9;15960.49;15887.28;15862.2;-0.00157904677;15862.2;15941.0136
2018-01-17;INDX;10018385;8;BVMF;INDUSTRIAL;15865.21;15832.61;15939.69;15872.56;15862.2;15939.69;0.00488562565;15939.69;15889.9707
2018-01-18;INDX;10018385;8;BVMF;INDUSTRIAL;15939.89;15792.06;15989.5;15887.17;15939.69;15822.14;-0.00737452041;15822.14;15842.7929
2018-01-19;INDX;10018385;8;BVMF;INDUSTRIAL;15822.47;15822.47;15943.98;15890.87;15822.14;15885.09;0.00397822846;15885.09;15879.4618
2018-01-22;INDX;10018385;8;BVMF;INDUSTRIAL;15885.09;15835.17;15934.16;15871.73;15885.09;15859.12;-0.00163487258;15859.12;15867.7314
2018-01-23;INDX;10018385;8;BVMF;INDUSTRIAL;15859.79;15584.86;15859.79;15680.64;15859.12;15620.8;-0.01502696662;15620.8;15624.4042
2018-01-24;INDX;10018385;8;BVMF;INDUSTRIAL;15621.46;15621.46;15897.56;15816.94;15620.8;15855.6;0.01503065488;15855.6;15814.4246
2018-01-26;INDX;10018385;8;BVMF;INDUSTRIAL;15855.6;15804.74;15968.05;15916.11;15855.6;15967.87;0.00708134723;15967.87;15938.3229
2018-01-29;INDX;10018385;8;BVMF;INDUSTRIAL;15967.88;15860.26;16034.35;15936.86;15967.87;15948.58;-0.00120806654;15948.58;15897.6901
2018-01-30;INDX;10018385;8;BVMF;INDUSTRIAL;15948.48;15849.05;15969.04;15911.83;15948.58;15949.91;;15949.91;15913.1547
2018-01-31;INDX;10018385;8;BVMF;INDUSTRIAL;15950.22;15836.08;16118.77;16001.7;15949.91;15836.08;-0.00713627056;15836.08;15939.1246
2018-02-01;INDX;10018385;8;BVMF;INDUSTRIAL;15836.25;15833.46;16124;16035.57;15836.08;16021.29;0.01169526109;16021.29;16070.3619
2018-02-02;INDX;10018385;8;BVMF;INDUSTRIAL;16019.99;15818.66;16019.99;15885.97;16021.29;15876.48;-0.00903842819;15876.48;15902.6701
2018-02-05;INDX;10018385;8;BVMF;INDUSTRIAL;15876.48;15525.69;15876.48;15744.75;15876.48;15525.69;-0.02209504957;15525.69;15712.9464
2018-02-06;INDX;10018385;8;BVMF;INDUSTRIAL;15525.38;15252.97;15734.68;15547.2;15525.69;15674.58;0.00958978163;15674.58;15636.0186
2018-02-07;INDX;10018385;8;BVMF;INDUSTRIAL;15674.58;15542.48;15811.26;15679.94;15674.58;15585.89;-0.00565837999;15585.89;15625.2874
2018-02-08;INDX;10018385;8;BVMF;INDUSTRIAL;15583.29;15263.09;15730.37;15504.1;15585.89;15320.15;-0.01705005481;15320.15;15340.9881
2018-02-09;INDX;10018385;8;BVMF;INDUSTRIAL;15320.15;14936.59;15364.45;15168.58;15320.15;15195.05;-0.00816582678;15195.05;15057.9237
2018-02-14;INDX;10018385;8;BVMF;INDUSTRIAL;15197.75;15197.75;15686.5;15573.19;15195.05;15634.89;0.02894692429;15634.89;15607.7684
2018-02-15;INDX;10018385;8;BVMF;INDUSTRIAL;15639.2;15602.08;15782.42;15680.21;15634.89;15633.58;;15633.58;15646.5991
2018-02-16;INDX;10018385;8;BVMF;INDUSTRIAL;15634.56;15517.14;15737.91;15637.22;15633.58;15737.91;0.00667331475;15737.91;15681.4452
2018-02-19;INDX;10018385;8;BVMF;INDUSTRIAL;15738.23;15738.23;15916.33;15840.61;15737.91;15915.69;0.01129640082;15915.69;15862.7776
2018-02-20;INDX;10018385;8;BVMF;INDUSTRIAL;15915.69;15811.38;16083.58;15962.36;15915.69;16007.41;0.00576301522;16007.41;16008.182
2018-02-21;INDX;10018385;8;BVMF;INDUSTRIAL;16007.41;16007.41;16166.32;16081.98;16007.41;16018.73;0.00070669259;16018.73;16091.7386
2018-02-22;INDX;10018385;8;BVMF;INDUSTRIAL;16018.79;16003.73;16193.38;16100.25;16018.73;16049.64;0.00192979166;16049.64;16039.5764
2018-02-23;INDX;10018385;8;BVMF;INDUSTRIAL;16049.64;15904.67;16127.37;15988.79;16049.64;16011.78;-0.00235920698;16011.78;15971.42
2018-02-26;INDX;10018385;8;BVMF;INDUSTRIAL;16014.31;15989.7;16225.29;16079.26;16011.78;16035.34;0.00147156382;16035.34;16043.4027
2018-02-27;INDX;10018385;8;BVMF;INDUSTRIAL;16035.55;15920.22;16094.27;16009.49;16035.34;15974.5;-0.00379382558;15974.5;16005.2897
2018-02-28;INDX;10018385;8;BVMF;INDUSTRIAL;15974.5;15833.36;16062.59;15942.59;15974.5;15844.06;-0.00816576091;15844.06;15933.7398
2018-03-01;INDX;10018385;8;BVMF;INDUSTRIAL;15844.9;15770.23;16072.25;15942.28;15844.06;15882.01;0.00239533958;15882.01;15866.6802
2018-03-02;INDX;10018385;8;BVMF;INDUSTRIAL;15882.01;15614.2;15924.82;15778.92;15882.01;15924.82;0.00269536731;15924.82;15842.489
2018-03-05;INDX;10018385;8;BVMF;INDUSTRIAL;15926.12;15564.17;15927.9;15652.43;15924.82;15589.93;-0.02102906292;15589.93;15613.0321
2018-03-06;INDX;10018385;8;BVMF;INDUSTRIAL;15591.57;15494.76;15669.8;15564.43;15589.93;15494.76;-0.00610472945;15494.76;15562.4388
2018-03-07;INDX;10018385;8;BVMF;INDUSTRIAL;15494.76;15395.69;15636.45;15501.5;15494.76;15634.25;0.00900216375;15634.25;15516.6549
2018-03-08;INDX;10018385;8;BVMF;INDUSTRIAL;15634.39;15560.34;15689.13;15621.54;15634.25;15636.67;0.00015477157;15636.67;15625.9434
2018-03-09;INDX;10018385;8;BVMF;INDUSTRIAL;15636.67;15588.03;15931.42;15843.99;15636.67;15931.42;0.0188499613;15931.42;15876.5607
2018-03-12;INDX;10018385;8;BVMF;INDUSTRIAL;15931.42;15931.42;16169.26;16116.6;15931.42;16132.37;0.01261377837;16132.37;16137.6099
2018-03-13;INDX;10018385;8;BVMF;INDUSTRIAL;16132.37;16083.07;16266.54;16160.66;16132.37;16156.74;0.00151031705;16156.74;16126.4333
2018-03-14;INDX;10018385;8;BVMF;INDUSTRIAL;16156.74;16104.47;16288.02;16174.7;16156.74;16167.84;0.00068678984;16167.84;16161.4424
2018-03-15;INDX;10018385;8;BVMF;INDUSTRIAL;16168.11;15895.74;16168.11;15985.23;16167.84;15901.2;-0.01649144352;15901.2;15940.8204
2018-03-16;INDX;10018385;8;BVMF;INDUSTRIAL;15897.15;15699.08;15955.14;15906.5;15901.2;15892.1;-0.00057275378;15892.1;15916.4199
