GEOID	UTB_RNA	GEOL_CLS	GEOL_VUL	GEOM_CLS	GEOM_VUL	SOLO_CLS	SOLO_VUL	VEGE_CLS	VEGE_VUL	VUL_MED
233	1,00340	T-Form-Solimoes	2,60000	B2-Colinosa_Crista	1,80000	Pvae-Podz_ver_amar_eu	2,00000	Fapb-Aber_Palm_Bambu	1,20000	1,90000
235	1,00680	Q-Aluviao-Indif	3,00000	C2-Planicie-fluvial	3,00000	Hge-Hidro_gley_eu	3,00000	Faapb-Aluv_Aber_Palm_Bambu	1,20000	2,55000
236	1,01020	Q-Aluviao-Indif	3,00000	C2-Planicie-fluvial	3,00000	Hge-Hidro_gley_eu	3,00000	Faapb-Aluv_Aber_Palm_Bambu	1,20000	2,55000
237	1,01360	T-Form-Solimoes	2,60000	B2-Colinosa_Crista	1,80000	Pvae-Podz_ver_amar_eu	2,00000	Fapb-Aber_Palm_Bambu	1,20000	1,90000
238	1,01700	T-Form-Solimoes	2,60000	B1-Colinosa_Crista_Tabula	1,60000	Pvae-Podz_ver_amar_eu	2,00000	Fapb-Aber_Palm_Bambu	1,20000	1,85000
239	1,02040	T-Form-Solimoes	2,60000	B1-Colinosa_Crista_Tabula	1,60000	Pvae-Podz_ver_amar_eu	2,00000	Fapb-Aber_Palm_Bambu	1,20000	1,85000
240	1,02380	Q-Aluviao-Indif	3,00000	C3-Planicie_Terraco-fluvi	2,00000	Hge-Hidro_gley_eu	3,00000	Faapd-Aluv_Aber_Palm-Densa	1,10000	2,28000
241	1,02720	T-Form-Solimoes	2,60000	B2-Colinosa_Crista	1,80000	Pvae-Podz_ver_amar_eu	2,00000	Faapb-Aluv_Aber_Palm_Bambu	1,20000	1,90000
242	1,03060	T-Form-Solimoes	2,60000	B2-Colinosa_Crista	1,80000	Pvae-Podz_ver_amar_eu	2,00000	AA-Ativid_Agropec	2,80000	2,30000
243	1,03400	Q-Aluviao-Indif	3,00000	C2-Planicie-fluvial	3,00000	Hge-Hidro_gley_eu	3,00000	AA-Ativid_Agropec	2,80000	2,95000
244	1,03740	Q-Aluviao-Indif	3,00000	C2-Planicie-fluvial	3,00000	Hge-Hidro_gley_eu	3,00000	AA-Ativid_Agropec	2,80000	2,95000
245	1,04080	Q-Aluviao-Indif	3,00000	C2-Planicie-fluvial	3,00000	Hge-Hidro_gley_eu	3,00000	AA-Ativid_Agropec	2,80000	2,95000
246	1,04420	T-Form-Solimoes	2,60000	B2-Colinosa_Crista	1,80000	Pvae-Podz_ver_amar_eu	2,00000	AA-Ativid_Agropec	2,80000	2,30000
247	1,04760	T-Form-Solimoes	2,60000	B2-Colinosa_Crista	1,80000	Pvae-Podz_ver_amar_eu	2,00000	AA-Ativid_Agropec	2,80000	2,30000
248	1,05100	T-Form-Solimoes	2,60000	B2-Colinosa_Crista	1,80000	Pvae-Podz_ver_amar_eu	2,00000	C-CapoeiraN	2,10000	2,13000
249	1,05440	T-Form-Solimoes	2,60000	B2-Colinosa_Crista	1,80000	Pvae-Podz_ver_amar_eu	2,00000	Q-Queimada	3,00000	2,35000
250	1,05780	T-Form-Solimoes	2,60000	B2-Colinosa_Crista	1,80000	Pvae-Podz_ver_amar_eu	2,00000	C-CapoeiraN	2,10000	2,13000
251	1,06120	T-Form-Solimoes	2,60000	B2-Colinosa_Crista	1,80000	Pvae-Podz_ver_amar_eu	2,00000	AA-Ativid_Agropec	2,80000	2,30000
252	1,06460	T-Form-Solimoes	2,60000	B2-Colinosa_Crista	1,80000	Pvae-Podz_ver_amar_eu	2,00000	C-CapoeiraN	2,10000	2,13000
253	1,06800	T-Form-Solimoes	2,60000	B1-Colinosa_Crista_Tabula	1,60000	Pvae-Podz_ver_amar_eu	2,00000	AA-Ativid_Agropec	2,80000	2,25000
254	1,07140	T-Form-Solimoes	2,60000	B1-Colinosa_Crista_Tabula	1,60000	Pvae-Podz_ver_amar_eu	2,00000	AA-Ativid_Agropec	2,80000	2,25000
255	1,07480	T-Form-Solimoes	2,60000	B1-Colinosa_Crista_Tabula	1,60000	Pvae-Podz_ver_amar_eu	2,00000	C-CapoeiraN	2,10000	2,08000
256	1,07820	T-Form-Solimoes	2,60000	B1-Colinosa_Crista_Tabula	1,60000	Pvae-Podz_ver_amar_eu	2,00000	AA-Ativid_Agropec	2,80000	2,25000
257	1,08160	T-Form-Solimoes	2,60000	B1-Colinosa_Crista_Tabula	1,60000	Pvae-Podz_ver_amar_eu	2,00000	AA-Ativid_Agropec	2,80000	2,25000
258	1,08500	T-Form-Solimoes	2,60000	B1-Colinosa_Crista_Tabula	1,60000	Pvae-Podz_ver_amar_eu	2,00000	C-CapoeiraN	2,10000	2,08000
259	1,08840	T-Form-Solimoes	2,60000	B1-Colinosa_Crista_Tabula	1,60000	Pvae-Podz_ver_amar_eu	2,00000	AA-Ativid_Agropec	2,80000	2,25000
260	1,09180	T-Form-Solimoes	2,60000	B1-Colinosa_Crista_Tabula	1,60000	Pvae-Podz_ver_amar_eu	2,00000	C-CapoeiraV	1,40000	1,90000
261	1,09520	T-Form-Solimoes	2,60000	B1-Colinosa_Crista_Tabula	1,60000	Pvae-Podz_ver_amar_eu	2,00000	C-CapoeiraN	2,10000	2,08000
262	1,09860	T-Form-Solimoes	2,60000	B1-Colinosa_Crista_Tabula	1,60000	Pvae-Podz_ver_amar_eu	2,00000	AA-Ativid_Agropec	2,80000	2,25000
263	1,10200	T-Form-Solimoes	2,60000	B1-Colinosa_Crista_Tabula	1,60000	Pvae-Podz_ver_amar_eu	2,00000	AA-Ativid_Agropec	2,80000	2,25000
264	1,10540	T-Form-Solimoes	2,60000	B1-Colinosa_Crista_Tabula	1,60000	Pvae-Podz_ver_amar_eu	2,00000	AA-Ativid_Agropec	2,80000	2,25000
265	1,10880	T-Form-Solimoes	2,60000	B2-Colinosa_Crista	1,80000	Pvae-Podz_ver_amar_eu	2,00000	AA-Ativid_Agropec	2,80000	2,30000
266	1,11220	T-Form-Solimoes	2,60000	B2-Colinosa_Crista	1,80000	Pvae-Podz_ver_amar_eu	2,00000	C-CapoeiraN	2,10000	2,13000
267	1,11560	T-Form-Solimoes	2,60000	B2-Colinosa_Crista	1,80000	Pvae-Podz_ver_amar_eu	2,00000	C-CapoeiraN	2,10000	2,13000
268	1,11900	T-Form-Solimoes	2,60000	B1-Colinosa_Crista_Tabula	1,60000	Pvae-Podz_ver_amar_eu	2,00000	AA-Ativid_Agropec	2,80000	2,25000
269	1,12240	T-Form-Solimoes	2,60000	B1-Colinosa_Crista_Tabula	1,60000	Pvae-Podz_ver_amar_eu	2,00000	AA-Ativid_Agropec	2,80000	2,25000
270	1,12580	T-Form-Solimoes	2,60000	B2-Colinosa_Crista	1,80000	Pvae-Podz_ver_amar_eu	2,00000	AA-Ativid_Agropec	2,80000	2,30000
271	1,12920	T-Form-Solimoes	2,60000	B2-Colinosa_Crista	1,80000	Pvae-Podz_ver_amar_eu	2,00000	AA-Ativid_Agropec	2,80000	2,30000
272	1,13260	T-Form-Solimoes	2,60000	B2-Colinosa_Crista	1,80000	Pvae-Podz_ver_amar_eu	2,00000	C-CapoeiraN	2,10000	2,13000
273	1,13600	T-Form-Solimoes	2,60000	B1-Colinosa_Crista_Tabula	1,60000	Pvae-Podz_ver_amar_eu	2,00000	AA-Ativid_Agropec	2,80000	2,25000
274	1,13940	T-Form-Solimoes	2,60000	B1-Colinosa_Crista_Tabula	1,60000	Pvae-Podz_ver_amar_eu	2,00000	AA-Ativid_Agropec	2,80000	2,25000
275	1,14280	T-Form-Solimoes	2,60000	B1-Colinosa_Crista_Tabula	1,60000	Pvae-Podz_ver_amar_eu	2,00000	AA-Ativid_Agropec	2,80000	2,25000
276	1,14620	T-Form-Solimoes	2,60000	B1-Colinosa_Crista_Tabula	1,60000	Pvae-Podz_ver_amar_eu	2,00000	AA-Ativid_Agropec	2,80000	2,25000
277	1,14960	T-Form-Solimoes	2,60000	B1-Colinosa_Crista_Tabula	1,60000	Pvae-Podz_ver_amar_eu	2,00000	AA-Ativid_Agropec	2,80000	2,25000
278	1,15300	T-Form-Solimoes	2,60000	B1-Colinosa_Crista_Tabula	1,60000	Pvae-Podz_ver_amar_eu	2,00000	AA-Ativid_Agropec	2,80000	2,25000
279	1,15640	T-Form-Solimoes	2,60000	B1-Colinosa_Crista_Tabula	1,60000	Pvae-Podz_ver_amar_eu	2,00000	AA-Ativid_Agropec	2,80000	2,25000
280	1,15980	T-Form-Solimoes	2,60000	B1-Colinosa_Crista_Tabula	1,60000	Pvae-Podz_ver_amar_eu	2,00000	AA-Ativid_Agropec	2,80000	2,25000
281	1,16320	T-Form-Solimoes	2,60000	B1-Colinosa_Crista_Tabula	1,60000	Pvae-Podz_ver_amar_eu	2,00000	C-CapoeiraN	2,10000	2,08000
282	1,16660	T-Form-Solimoes	2,60000	B1-Colinosa_Crista_Tabula	1,60000	Pvae-Podz_ver_amar_eu	2,00000	AA-Ativid_Agropec	2,80000	2,25000
283	1,17000	T-Form-Solimoes	2,60000	B1-Colinosa_Crista_Tabula	1,60000	Pvae-Podz_ver_amar_eu	2,00000	AA-Ativid_Agropec	2,80000	2,25000
284	1,17340	T-Form-Solimoes	2,60000	B1-Colinosa_Crista_Tabula	1,60000	Pvae-Podz_ver_amar_eu	2,00000	C-CapoeiraN	2,10000	2,08000
285	1,17680	T-Form-Solimoes	2,60000	B1-Colinosa_Crista_Tabula	1,60000	Pvae-Podz_ver_amar_eu	2,00000	C-CapoeiraN	2,10000	2,08000
286	1,18020	T-Form-Solimoes	2,60000	B1-Colinosa_Crista_Tabula	1,60000	Pvae-Podz_ver_amar_eu	2,00000	C-CapoeiraN	2,10000	2,08000
287	1,18360	T-Form-Solimoes	2,60000	B1-Colinosa_Crista_Tabula	1,60000	Pvae-Podz_ver_amar_eu	2,00000	AA-Ativid_Agropec	2,80000	2,25000
288	1,18700	T-Form-Solimoes	2,60000	B1-Colinosa_Crista_Tabula	1,60000	Pvae-Podz_ver_amar_eu	2,00000	C-CapoeiraN	2,10000	2,08000
289	1,19040	T-Form-Solimoes	2,60000	B1-Colinosa_Crista_Tabula	1,60000	Pvae-Podz_ver_amar_eu	2,00000	AA-Ativid_Agropec	2,80000	2,25000
290	1,19380	T-Form-Solimoes	2,60000	B1-Colinosa_Crista_Tabula	1,60000	Pvae-Podz_ver_amar_eu	2,00000	C-CapoeiraN	2,10000	2,08000
291	1,19720	T-Form-Solimoes	2,60000	B1-Colinosa_Crista_Tabula	1,60000	Pvae-Podz_ver_amar_eu	2,00000	AA-Ativid_Agropec	2,80000	2,25000
292	1,20060	T-Form-Solimoes	2,60000	B1-Colinosa_Crista_Tabula	1,60000	Pvae-Podz_ver_amar_eu	2,00000	AA-Ativid_Agropec	2,80000	2,25000
293	1,20400	T-Form-Solimoes	2,60000	B1-Colinosa_Crista_Tabula	1,60000	Pvae-Podz_ver_amar_eu	2,00000	AA-Ativid_Agropec	2,80000	2,25000
294	1,20740	T-Form-Solimoes	2,60000	B1-Colinosa_Crista_Tabula	1,60000	Pvae-Podz_ver_amar_eu	2,00000	AA-Ativid_Agropec	2,80000	2,25000
295	1,21080	T-Form-Solimoes	2,60000	B1-Colinosa_Crista_Tabula	1,60000	Pvae-Podz_ver_amar_eu	2,00000	C-CapoeiraV	1,40000	1,90000
296	1,21420	T-Form-Solimoes	2,60000	B1-Colinosa_Crista_Tabula	1,60000	Pvae-Podz_ver_amar_eu	2,00000	AA-Ativid_Agropec	2,80000	2,25000
297	1,21760	T-Form-Solimoes	2,60000	B1-Colinosa_Crista_Tabula	1,60000	Pvae-Podz_ver_amar_eu	2,00000	AA-Ativid_Agropec	2,80000	2,25000
298	1,22100	T-Form-Solimoes	2,60000	B1-Colinosa_Crista_Tabula	1,60000	Pvae-Podz_ver_amar_eu	2,00000	C-CapoeiraV	1,40000	1,90000
299	1,22440	T-Form-Solimoes	2,60000	B1-Colinosa_Crista_Tabula	1,60000	Pvae-Podz_ver_amar_eu	2,00000	AA-Ativid_Agropec	2,80000	2,25000
300	1,22780	T-Form-Solimoes	2,60000	B1-Colinosa_Crista_Tabula	1,60000	Pvae-Podz_ver_amar_eu	2,00000	C-CapoeiraN	2,10000	2,08000
